Voltage,Current,Temperature,Charge Capacity,Internal Resistance,Age in Cycles,State of Charge,Discharge Time,Charge Time,Fault
3.65,5.2,23,85,0.012,1500,55,45,35,0
3.8,4.9,30,90,0.013,1200,60,50,40,0
3.95,5.1,35,75,0.015,800,70,55,45,1
4.05,3.8,25,88,0.011,600,65,60,50,0
3.7,4.5,27,95,0.01,500,50,65,55,0
3.85,5.3,32,80,0.017,1000,58,70,60,1
3.9,6,29,70,0.018,1400,52,75,65,1
3.6,4,22,85,0.012,300,48,80,70,0
4.1,3.5,33,90,0.014,900,62,85,75,0
3.75,4.8,28,78,0.013,1300,55,90,80,1
3.8,5.1,24,88,0.011,700,60,95,85,0
4,3.9,34,92,0.016,200,66,100,90,0
3.65,4.4,26,84,0.015,100,57,105,95,1
3.9,5.2,21,77,0.012,600,53,110,60,0
4.05,3.6,37,89,0.014,1100,69,115,65,1
3.7,4.3,20,80,0.013,900,49,120,70,0
3.85,5.4,31,91,0.017,1500,58,125,75,0
3.95,3.7,29,85,0.011,500,61,130,80,0
4,5,26,93,0.016,800,65,135,85,1
3.75,4.6,22,81,0.015,300,54,140,90,0
3.65,5.3,35,90,0.012,1400,52,45,35,0
3.8,4.9,30,70,0.013,1300,60,50,40,0
3.95,5.1,25,65,0.015,700,70,55,45,1
4.05,3.8,27,78,0.011,600,75,60,50,0
3.7,4.5,34,88,0.01,1000,50,65,55,0
3.85,5.3,32,80,0.017,800,58,70,60,1
3.9,6,23,74,0.018,1400,52,75,65,1
3.6,4,21,82,0.012,500,48,80,70,0
4.1,3.5,31,90,0.014,300,62,85,75,0
3.75,4.8,33,78,0.013,900,55,90,80,1
3.8,5.1,28,88,0.011,1200,60,95,85,0
4,3.9,34,92,0.016,700,66,100,90,0
3.65,4.4,27,84,0.015,500,57,105,95,1
3.9,5.2,20,77,0.012,1300,53,110,60,0
4.05,3.6,37,89,0.014,1500,69,115,65,1
3.7,4.3,22,80,0.013,800,49,120,70,0
3.85,5.4,29,91,0.017,1100,58,125,75,0
3.95,3.7,26,85,0.011,300,61,130,80,0
4,5,25,93,0.016,200,65,135,85,1
3.75,4.6,20,81,0.015,100,54,140,90,0
3.65,5.3,30,90,0.012,700,52,45,35,0
3.8,4.9,34,70,0.013,600,60,50,40,0
3.95,5.1,31,65,0.015,500,70,55,45,1
4.05,3.8,29,78,0.011,400,75,60,50,0
3.7,4.5,35,88,0.01,200,50,65,55,0
3.85,5.3,27,80,0.017,900,58,70,60,1
3.9,6,25,74,0.018,800,52,75,65,1
3.6,4,28,82,0.012,1400,48,80,70,0
4.1,3.5,32,90,0.014,1300,62,85,75,0
3.75,4.8,30,78,0.013,1000,55,90,80,1
3.8,5.1,26,88,0.011,700,60,95,85,0
4,3.9,20,92,0.016,300,66,100,90,0
3.65,4.4,27,84,0.015,600,57,105,95,1
3.9,5.2,33,77,0.012,500,53,110,60,0
4.05,3.6,34,89,0.014,200,69,115,65,1
3.7,4.3,21,80,0.013,100,49,120,70,0
3.85,5.4,28,91,0.017,1400,58,125,75,0
3.95,3.7,29,85,0.011,1300,61,130,80,0
4,5,35,93,0.016,1100,65,135,85,1
3.75,4.6,20,81,0.015,900,54,140,90,0
3.65,5.3,22,90,0.012,800,52,45,35,0
3.8,4.9,34,70,0.013,700,60,50,40,0
3.95,5.1,28,65,0.015,600,70,55,45,1
4.05,3.8,25,78,0.011,500,75,60,50,0
3.7,4.5,26,88,0.01,400,50,65,55,0
3.85,5.3,33,80,0.017,300,58,70,60,1
3.9,6,21,74,0.018,200,52,75,65,1
3.6,4,30,82,0.012,1000,48,80,70,0
4.1,3.5,35,90,0.014,1200,62,85,75,0
3.75,4.8,27,78,0.013,700,55,90,80,1
3.8,5.1,34,88,0.011,600,60,95,85,0
4,3.9,26,92,0.016,500,66,100,90,0
3.65,4.4,21,84,0.015,400,57,105,95,1
3.9,5.2,29,77,0.012,500,53,110,60,0
4.05,3.6,34,89,0.014,400,69,115,65,1
3.7,4.3,25,80,0.013,300,49,120,70,0
3.85,5.4,22,91,0.017,200,58,125,75,0
3.95,3.7,29,85,0.011,100,61,130,80,0
4,5,27,93,0.016,900,65,135,85,1
3.75,4.6,30,81,0.015,800,54,140,90,0
3.65,5.3,31,90,0.012,700,52,45,35,0
3.8,4.9,35,70,0.013,600,60,50,40,0
3.95,5.1,33,65,0.015,500,70,55,45,1
4.05,3.8,20,78,0.011,400,75,60,50,0
3.7,4.5,27,88,0.01,300,50,65,55,0
3.85,5.3,34,80,0.017,200,58,70,60,1
3.9,6,28,74,0.018,100,52,75,65,1
3.6,4,22,82,0.012,900,48,80,70,0
4.1,3.5,29,90,0.014,800,62,85,75,0
3.75,4.8,34,78,0.013,700,55,90,80,1
3.8,5.1,25,88,0.011,600,60,95,85,0
4,3.9,31,92,0.016,500,66,100,90,0
3.65,4.4,28,84,0.015,400,57,105,95,1
3.9,5.2,21,77,0.012,300,53,110,60,0
4.05,3.6,34,89,0.014,200,69,115,65,1
3.7,4.3,30,80,0.013,100,49,120,70,0
3.85,5.4,29,91,0.017,1000,58,125,75,0
3.95,3.7,22,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,27,81,0.015,500,54,140,90,0
3.65,5.3,34,90,0.012,300,52,45,35,0
3.8,4.9,33,70,0.013,200,60,50,40,0
3.95,5.1,28,65,0.015,100,70,55,45,1
4.05,3.8,31,78,0.011,900,75,60,50,0
3.7,4.5,26,88,0.01,800,50,65,55,0
3.85,5.3,22,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,28,78,0.013,300,55,90,80,1
3.8,5.1,20,88,0.011,200,60,95,85,0
4,3.9,33,92,0.016,100,66,100,90,0
3.65,4.4,27,84,0.015,900,57,105,95,1
3.9,5.2,34,77,0.012,800,53,110,60,0
4.05,3.6,25,89,0.014,700,69,115,65,1
3.7,4.3,29,80,0.013,600,49,120,70,0
3.85,5.4,20,91,0.017,500,58,125,75,0
3.95,3.7,28,85,0.011,400,61,130,80,0
4,5,35,93,0.016,300,65,135,85,1
3.75,4.6,21,81,0.015,200,54,140,90,0
3.65,5.3,31,90,0.012,100,52,45,35,0
3.8,4.9,25,70,0.013,600,60,50,40,0
3.95,5.1,33,65,0.015,500,70,55,45,1
4.05,3.8,28,78,0.011,400,75,60,50,0
3.7,4.5,30,88,0.01,300,50,65,55,0
3.85,5.3,22,80,0.017,200,58,70,60,1
3.9,6,29,74,0.018,100,52,75,65,1
3.6,4,31,82,0.012,900,48,80,70,0
4.1,3.5,27,90,0.014,800,62,85,75,0
3.75,4.8,35,78,0.013,700,55,90,80,1
3.8,5.1,34,88,0.011,600,60,95,85,0
4,3.9,28,92,0.016,500,66,100,90,0
3.65,4.4,29,84,0.015,400,57,105,95,1
3.9,5.2,20,77,0.012,300,53,110,60,0
4.05,3.6,35,89,0.014,200,69,115,65,1
3.7,4.3,25,80,0.013,100,49,120,70,0
3.85,5.4,31,91,0.017,1000,58,125,75,0
3.95,3.7,33,85,0.011,800,61,130,80,0
4,5,28,93,0.016,600,65,135,85,1
3.75,4.6,34,81,0.015,500,54,140,90,0
3.65,5.3,30,90,0.012,300,52,45,35,0
3.8,4.9,26,70,0.013,200,60,50,40,0
3.95,5.1,21,65,0.015,100,70,55,45,1
4.05,3.8,20,78,0.011,900,75,60,50,0
3.7,4.5,29,88,0.01,800,50,65,55,0
3.85,5.3,28,80,0.017,700,58,70,60,1
3.9,6,22,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,33,90,0.014,400,62,85,75,0
3.75,4.8,20,78,0.013,300,55,90,80,1
3.8,5.1,29,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,28,84,0.015,900,57,105,95,1
3.9,5.2,25,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,31,80,0.013,600,49,120,70,0
3.85,5.4,35,91,0.017,500,58,125,75,0
3.95,3.7,29,85,0.011,400,61,130,80,0
4,5,34,93,0.016,300,65,135,85,1
3.75,4.6,20,81,0.015,200,54,140,90,0
3.65,5.3,33,90,0.012,100,52,45,35,0
3.8,4.9,21,70,0.013,600,60,50,40,0
3.95,5.1,25,65,0.015,500,70,55,45,1
4.05,3.8,27,78,0.011,400,75,60,50,0
3.7,4.5,31,88,0.01,300,50,65,55,0
3.85,5.3,30,80,0.017,200,58,70,60,1
3.9,6,28,74,0.018,100,52,75,65,1
3.6,4,22,82,0.012,900,48,80,70,0
4.1,3.5,33,90,0.014,800,62,85,75,0
3.75,4.8,25,78,0.013,700,55,90,80,1
3.8,5.1,28,88,0.011,600,60,95,85,0
4,3.9,20,92,0.016,500,66,100,90,0
3.65,4.4,29,84,0.015,400,57,105,95,1
3.9,5.2,31,77,0.012,300,53,110,60,0
4.05,3.6,27,89,0.014,200,69,115,65,1
3.7,4.3,25,80,0.013,100,49,120,70,0
3.85,5.4,34,91,0.017,1000,58,125,75,0
3.95,3.7,30,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,22,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,25,91,0.017,500,58,125,75,0
3.95,3.7,21,85,0.011,400,61,130,80,0
4,5,34,93,0.016,300,65,135,85,1
3.75,4.6,22,81,0.015,200,54,140,90,0
3.65,5.3,28,90,0.012,100,52,45,35,0
3.8,4.9,29,70,0.013,600,60,50,40,0
3.95,5.1,20,65,0.015,500,70,55,45,1
4.05,3.8,31,78,0.011,400,75,60,50,0
3.7,4.5,34,88,0.01,300,50,65,55,0
3.85,5.3,25,80,0.017,200,58,70,60,1
3.9,6,21,74,0.018,100,52,75,65,1
3.6,4,31,82,0.012,900,48,80,70,0
4.1,3.5,22,90,0.014,800,62,85,75,0
3.75,4.8,29,78,0.013,700,55,90,80,1
3.8,5.1,20,88,0.011,600,60,95,85,0
4,3.9,28,92,0.016,500,66,100,90,0
3.65,4.4,21,84,0.015,400,57,105,95,1
3.9,5.2,35,77,0.012,300,53,110,60,0
4.05,3.6,30,89,0.014,200,69,115,65,1
3.7,4.3,34,80,0.013,100,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,21,93,0.016,600,65,135,85,1
3.75,4.6,25,81,0.015,200,54,140,90,0
3.65,5.3,31,90,0.012,100,52,45,35,0
3.8,4.9,34,70,0.013,600,60,50,40,0
3.95,5.1,28,65,0.015,500,70,55,45,1
4.05,3.8,31,78,0.011,400,75,60,50,0
3.7,4.5,35,88,0.01,300,50,65,55,0
3.85,5.3,20,80,0.017,200,58,70,60,1
3.9,6,25,74,0.018,100,52,75,65,1
3.6,4,35,82,0.012,900,48,80,70,0
4.1,3.5,30,90,0.014,800,62,85,75,0
3.75,4.8,31,78,0.013,700,55,90,80,1
3.8,5.1,28,88,0.011,600,60,95,85,0
4,3.9,34,92,0.016,500,66,100,90,0
3.65,4.4,25,84,0.015,400,57,105,95,1
3.9,5.2,30,77,0.012,300,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,25,91,0.017,500,58,125,75,0
3.95,3.7,21,85,0.011,400,61,130,80,0
4,5,34,93,0.016,300,65,135,85,1
3.75,4.6,22,81,0.015,200,54,140,90,0
3.65,5.3,28,90,0.012,100,52,45,35,0
3.8,4.9,29,70,0.013,600,60,50,40,0
3.95,5.1,20,65,0.015,500,70,55,45,1
4.05,3.8,31,78,0.011,400,75,60,50,0
3.7,4.5,34,88,0.01,300,50,65,55,0
3.85,5.3,25,80,0.017,200,58,70,60,1
3.9,6,21,74,0.018,100,52,75,65,1
3.6,4,31,82,0.012,900,48,80,70,0
4.1,3.5,22,90,0.014,800,62,85,75,0
3.75,4.8,29,78,0.013,700,55,90,80,1
3.8,5.1,20,88,0.011,600,60,95,85,0
4,3.9,28,92,0.016,500,66,100,90,0
3.65,4.4,21,84,0.015,400,57,105,95,1
3.9,5.2,35,77,0.012,300,53,110,60,0
4.05,3.6,30,89,0.014,200,69,115,65,1
3.7,4.3,34,80,0.013,100,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
4.1,3.5,30,90,0.014,400,62,85,75,0
3.75,4.8,31,78,0.013,300,55,90,80,1
3.8,5.1,28,88,0.011,200,60,95,85,0
4,3.9,34,92,0.016,100,66,100,90,0
3.65,4.4,25,84,0.015,900,57,105,95,1
3.9,5.2,30,77,0.012,800,53,110,60,0
4.05,3.6,20,89,0.014,700,69,115,65,1
3.7,4.3,33,80,0.013,600,49,120,70,0
3.85,5.4,33,91,0.017,1000,58,125,75,0
3.95,3.7,28,85,0.011,800,61,130,80,0
4,5,20,93,0.016,600,65,135,85,1
3.75,4.6,31,81,0.015,500,54,140,90,0
3.65,5.3,27,90,0.012,300,52,45,35,0
3.8,4.9,22,70,0.013,200,60,50,40,0
3.95,5.1,29,65,0.015,100,70,55,45,1
4.05,3.8,34,78,0.011,900,75,60,50,0
3.7,4.5,35,88,0.01,800,50,65,55,0
3.85,5.3,20,80,0.017,700,58,70,60,1
3.9,6,25,74,0.018,600,52,75,65,1
3.6,4,35,82,0.012,500,48,80,70,0
